;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ayam 1;Ayam 2;Ayam 3;Ayam 4;SAYUR 1;SAYUR 2;IKAN 1;Ikan 2;Ikan 3;Ikan 4;MANGGA;Sapi 1;Nasi goreng;Mie;Ubi;Bakso;Kambing;Babi;Gulai;Soto;Kue kuean;Roti;Tempe;Tahu;Sop 1;Sop 2;Jagung;Telur 1;Telur 2;Bebek;Kelapa;Sate;Oncom;Kentang;Ayam Mentah;Sapi Mentah;Ikan Mentah;Buah;Beras;Bumbu;Kacang 1;Kacang 2;Teh
28-55;54-48;69-68;77-62;69-1580;56-1320;64-503;67-504;67-572;68-522;03-1003;57-1286;;62-1040;69-1580;;;60-960;67-457;45-1383;17-86;36-1225;64-1489;68-1056;56-1361;58-1358;70-1570;46-1479;68-1466;69-1479;81-405;94-1295;11-1099;37-1256;04-1307;06-1282;02-514;03-198;05-142;10-681;04-697;06-745;26-1459
28-56;54-62;69-69;77-63;70-25;56-1321;64-523;67-505;67-573;68-523;03-1004;58-1354;;62-1041;70-1582;;;61-72;67-458;45-1384;17-805;36-1226;64-1490;68-1429;56-1366;58-1359;84-230;54-1470;68-1470;70-1476;81-799;95-1295;11-1141;51-814;04-1467;07-3;02-515;03-199;05-144;10-788;04-698;06-750;27-1459
30-44;54-63;69-129;77-67;70-239;57-1311;64-524;67-506;67-574;68-528;06-995;58-1355;;73-1039;;;;61-73;67-460;45-1385;17-907;36-1227;65-1489;68-1430;56-1369;58-1360;91-230;54-1481;68-1472;70-1477;85-405;;55-1538;51-815;05-105;07-16;02-516;03-200;05-145;10-796;04-699;06-751;28-1459
30-51;54-65;69-454;77-68;70-240;57-1316;64-525;67-507;67-575;68-540;06-996;58-1356;;74-1034;;;;61-74;68-455;45-1386;17-908;36-1228;65-1490;69-1429;56-1371;68-1351;94-618;55-1367;69-1367;70-1479;85-799;;65-109;55-902;05-106;07-17;02-517;03-201;05-146;10-798;04-700;07-682;29-1459
30-57;54-66;69-475;81-44;70-775;57-1317;64-547;67-508;67-576;68-541;06-997;58-1357;;74-1035;;;;61-75;68-456;45-1387;17-910;36-1229;67-1489;69-1430;57-1350;69-1350;;56-1371;69-1468;;93-800;;;55-1143;05-107;07-18;02-518;03-202;05-147;10-811;04-701;07-683;37-1459
30-58;54-454;69-1081;81-51;70-1309;57-1319;64-548;67-509;67-577;68-550;06-998;59-88;;74-1039;;;;61-76;68-457;45-1388;17-911;;67-1490;70-1429;57-1352;69-1352;;57-1371;69-1469;;;;;55-1256;05-108;07-265;02-519;03-648;05-149;10-812;04-704;07-684;38-1459
30-59;54-1470;69-1350;81-57;70-1312;57-1322;64-554;67-510;67-578;68-551;07-993;63-276;;75-1039;;;;61-442;68-458;45-1389;17-912;;68-1489;70-1430;57-1353;69-1356;;;69-1470;;;;;55-1260;05-829;07-275;02-520;03-974;05-150;10-819;04-705;07-686;39-1459
30-60;54-1567;69-1468;81-58;70-1314;64-781;64-555;67-511;67-579;68-552;07-994;69-259;;75-1042;;;;61-476;68-468;45-1390;17-913;;68-1490;70-1431;57-1363;69-1361;;;69-1472;;;;;55-1338;05-1307;07-277;02-521;04-188;05-151;10-827;04-706;07-696;40-1459
30-61;55-1350;69-1469;81-59;70-1315;65-781;64-556;67-512;67-580;68-560;07-995;69-1267;;90-1041;;;;61-685;69-453;45-1391;17-915;;69-1258;70-1432;57-1364;69-1363;;;69-1479;;;;;56-902;05-1467;07-370;02-522;04-189;05-152;10-874;04-707;07-697;41-1459
30-62;56-104;69-1470;81-60;70-1318;68-638;64-557;67-513;67-581;68-561;07-996;69-1356;;94-1041;;;;61-953;69-454;45-1392;17-917;;69-1259;83-808;57-1370;69-1367;;;69-1481;;;;;56-1143;06-15;07-1272;02-525;04-190;05-153;10-880;04-709;07-698;42-1459
30-63;56-1350;69-1472;81-61;70-1322;69-25;64-559;67-514;67-582;68-562;07-997;69-1368;;95-1041;;;;69-685;69-455;45-1393;17-918;;69-1485;;57-1371;69-1368;;;69-1482;;;;;56-1256;06-42;07-1274;02-527;04-199;05-154;10-988;04-710;07-699;43-1459
37-1470;57-1350;69-1567;81-62;70-1502;69-239;64-561;67-515;67-583;68-570;07-998;69-1482;;;;;;70-685;69-456;45-1394;17-919;;69-1489;;58-1351;70-1351;;;70-1476;;;;;56-1260;06-1467;07-1275;02-529;04-200;05-785;10-989;04-720;07-700;44-1459
40-205;58-1292;70-49;81-63;75-239;69-240;64-562;67-516;67-584;68-571;07-999;70-265;;;;;;92-74;69-458;45-1395;17-920;;69-1490;;58-1354;70-1362;;;70-1477;;;;;56-1338;06-1471;07-1276;02-531;05-192;06-134;10-1007;04-722;07-701;45-1459
44-15;58-1351;70-51;84-1376;79-446;;64-567;67-517;67-585;68-572;07-1000;70-276;;;;;;93-267;69-459;45-1396;17-921;;69-1494;;;;;;70-1479;;;;;57-815;06-1472;07-1277;02-532;05-193;06-135;10-1026;04-723;07-702;46-1459
45-15;64-44;70-52;85-44;81-781;;64-568;67-518;67-586;68-573;07-1001;70-1267;;;;;;93-268;69-463;45-1397;17-923;;69-1496;;;;;;91-1466;;;;;57-902;07-42;07-1278;02-533;05-199;06-136;10-1027;04-731;07-703;47-1459
45-1376;64-48;70-54;85-51;82-781;;64-570;67-519;67-587;68-580;07-1002;81-1257;;;;;;;69-464;45-1398;17-924;;69-1497;;;;;;;;;;;57-1143;07-45;07-1279;02-534;05-200;06-149;10-1028;04-746;07-711;48-1459
46-15;64-51;70-55;85-57;86-41;;64-583;67-520;67-588;68-581;07-1003;85-1257;;;;;;;69-465;45-1399;17-925;;69-1500;;;;;;;;;;;57-1260;07-64;07-1280;02-535;05-895;06-151;10-1046;04-747;07-713;49-1459
47-15;64-53;70-57;85-58;;;64-604;67-521;67-589;68-582;07-1004;93-275;;;;;;;70-454;45-1400;17-928;;69-1502;;;;;;;;;;;57-1338;07-371;07-1281;02-537;06-195;06-152;10-1047;04-748;07-715;50-1459
47-46;64-65;70-58;85-59;;;64-607;67-522;67-590;68-590;;93-276;;;;;;;70-455;45-1401;17-929;;70-1258;;;;;;;;;;;67-1260;07-1164;07-1282;02-542;06-202;06-153;10-1048;04-749;07-716;51-1459
47-47;64-66;70-65;85-60;;;64-614;67-523;67-591;68-591;;93-367;;;;;;;70-456;69-1392;21-922;;70-1259;;;;;;;;;;;68-1260;07-1307;07-1283;02-545;06-895;06-154;10-1049;04-1556;07-717;52-1459
47-54;64-67;70-66;85-61;;;64-615;67-524;67-592;68-592;;93-1269;;;;;;;70-458;69-1393;21-926;;70-1489;;;;;;;;;;;81-1256;07-1467;07-1285;02-546;07-188;07-132;10-1050;05-11;07-718;53-1459
47-55;64-107;70-104;85-62;;;64-961;67-525;67-593;68-595;;93-1271;;;;;;;70-459;69-1394;21-927;;70-1490;;;;;;;;;;;81-1260;07-1471;07-1417;02-550;07-189;07-133;10-1051;05-687;07-719;54-1459
48-15;64-110;70-129;85-63;;;64-1513;67-526;67-594;68-596;;93-1273;;;;;;;70-460;70-1392;;;70-1494;;;;;;;;;;;85-1256;07-1472;08-1272;02-551;07-190;07-136;10-1052;05-688;07-736;55-1459
48-46;64-1469;70-454;85-104;;;65-457;67-527;67-595;68-597;;;;;;;;;70-461;70-1393;;;70-1496;;;;;;;;;;;85-1260;08-42;08-1275;02-552;07-191;07-137;10-1053;05-689;07-737;56-1459
48-47;65-44;70-1351;91-48;;;65-481;67-528;67-596;68-603;;;;;;;;;70-462;84-1375;;;70-1497;;;;;;;;;;;;08-45;08-1279;02-556;07-192;07-138;10-1106;05-691;07-738;57-1459
48-54;65-48;70-1567;91-53;;;65-482;67-529;67-597;68-604;;;;;;;;;70-463;84-1376;;;70-1500;;;;;;;;;;;;08-64;09-16;02-560;07-193;07-139;10-1107;05-692;07-739;58-1459
48-55;65-51;74-1034;91-64;;;65-495;67-530;67-598;68-613;;;;;;;;;70-466;84-1381;;;70-1502;;;;;;;;;;;;08-371;09-17;02-563;07-194;07-140;10-1108;05-693;07-740;59-1459
49-15;65-53;76-15;91-1307;;;65-498;67-531;67-599;68-614;;;;;;;;;;84-1382;;;81-1258;;;;;;;;;;;;08-1164;09-18;02-564;07-195;07-141;10-1109;05-694;07-741;60-1459
50-15;65-65;76-49;91-1466;;;65-502;67-532;67-600;68-615;;;;;;;;;;84-1383;;;81-1259;;;;;;;;;;;;08-1307;09-265;02-565;07-196;07-142;10-1120;05-695;07-742;61-1459
50-67;65-68;76-50;91-1598;;;65-503;67-533;67-601;68-1154;;;;;;;;;;84-1385;;;85-1258;;;;;;;;;;;;08-1471;09-275;02-568;07-197;07-143;10-1197;05-696;07-743;62-1459
50-68;65-108;76-54;92-53;;;65-504;67-534;67-602;68-1155;;;;;;;;;;84-1387;;;85-1259;;;;;;;;;;;;08-1472;09-370;02-571;07-198;07-144;10-1240;05-697;07-744;63-1459
51-54;65-109;76-55;92-66;;;65-522;67-535;67-603;68-1156;;;;;;;;;;84-1401;;;96-1489;;;;;;;;;;;;09-371;09-372;02-572;07-199;07-145;10-1241;05-698;07-745;64-1459
51-55;65-1466;76-56;96-44;;;65-523;67-536;67-604;68-1157;;;;;;;;;;;;;96-1490;;;;;;;;;;;;;09-444;02-574;07-200;07-146;10-1243;05-699;07-746;65-1459
51-56;65-1469;76-57;96-67;;;65-525;67-537;67-605;68-1513;;;;;;;;;;;;;;;;;;;;;;;;;;09-477;02-575;07-201;07-147;10-1245;05-700;07-747;66-1459
52-15;65-1470;77-43;;;;65-528;67-538;67-606;69-456;;;;;;;;;;;;;;;;;;;;;;;;;;09-1268;02-576;07-202;07-148;10-1246;05-701;07-754;67-1459
52-46;65-1472;77-44;;;;65-530;67-539;67-607;69-458;;;;;;;;;;;;;;;;;;;;;;;;;;09-1270;02-577;07-648;07-152;10-1247;05-708;07-755;68-1459
52-47;67-1470;77-46;;;;65-547;67-540;67-608;70-456;;;;;;;;;;;;;;;;;;;;;;;;;;09-1271;02-578;07-791;07-153;10-1248;05-723;07-756;69-1459
52-51;67-1472;77-47;;;;65-548;67-541;67-609;70-458;;;;;;;;;;;;;;;;;;;;;;;;;;09-1273;02-579;07-974;07-154;10-1249;05-724;07-757;70-1459
52-52;68-475;77-48;;;;65-554;67-542;67-610;70-460;;;;;;;;;;;;;;;;;;;;;;;;;;09-1274;02-580;;07-157;10-1263;05-725;07-797;73-1459
52-54;68-1328;77-49;;;;65-555;67-543;67-611;96-503;;;;;;;;;;;;;;;;;;;;;;;;;;09-1276;02-581;;07-158;10-1264;05-726;07-1048;74-1459
52-58;68-1351;77-50;;;;65-557;67-544;67-612;96-561;;;;;;;;;;;;;;;;;;;;;;;;;;09-1277;02-584;;07-159;10-1265;05-727;07-1085;75-1459
52-59;68-1466;77-51;;;;65-558;67-545;67-613;96-1513;;;;;;;;;;;;;;;;;;;;;;;;;;09-1278;02-585;;07-160;10-1266;05-728;07-1444;76-1459
52-60;68-1470;77-52;;;;65-560;67-546;67-614;;;;;;;;;;;;;;;;;;;;;;;;;;;09-1280;02-588;;07-161;10-1335;05-732;07-1491;77-1459
52-61;68-1472;;;;;65-562;67-547;67-615;;;;;;;;;;;;;;;;;;;;;;;;;;;09-1281;02-589;;07-1507;10-1456;05-733;07-1492;79-1459
53-15;;;;;;65-566;67-548;67-961;;;;;;;;;;;;;;;;;;;;;;;;;;;09-1282;02-591;;07-1508;10-1506;05-736;07-1517;80-1459
53-46;;;;;;65-567;67-549;67-1047;;;;;;;;;;;;;;;;;;;;;;;;;;;09-1283;02-592;;10-396;10-1507;05-737;10-1048;80-1460
53-47;;;;;;65-570;67-550;67-1122;;;;;;;;;;;;;;;;;;;;;;;;;;;09-1285;02-593;;10-1507;10-1508;05-738;10-1517;80-1461
53-48;;;;;;65-582;67-551;67-1147;;;;;;;;;;;;;;;;;;;;;;;;;;;12-1272;02-594;;10-1508;10-1509;05-739;10-1556;84-1459
;;;;;;65-583;67-552;67-1154;;;;;;;;;;;;;;;;;;;;;;;;;;;;02-595;;12-132;10-1510;05-741;11-401;90-1459
;;;;;;65-606;67-553;67-1155;;;;;;;;;;;;;;;;;;;;;;;;;;;;02-596;;12-133;10-1511;05-743;11-1089;91-1459
;;;;;;65-613;67-554;67-1156;;;;;;;;;;;;;;;;;;;;;;;;;;;;02-597;;12-134;10-1512;05-744;11-1093;92-1459
;;;;;;65-614;67-555;67-1157;;;;;;;;;;;;;;;;;;;;;;;;;;;;02-598;;12-135;10-1513;05-750;11-1094;93-1459
;;;;;;65-961;67-556;67-1513;;;;;;;;;;;;;;;;;;;;;;;;;;;;02-600;;12-136;10-1514;05-752;12-1085;94-1459
;;;;;;65-1155;-65-1155;68-456;;;;;;;;;;;;;;;;;;;;;;;;;;;;02-602;;12-137;10-1515;05-753;12-1151;95-1459
;;;;;;65-1513;-65-1513;68-457;;;;;;;;;;;;;;;;;;;;;;;;;;;;02-603;;12-138;10-1516;05-754;12-1214;96-1459
;;;;;;67-456;-67-456;68-458;;;;;;;;;;;;;;;;;;;;;;;;;;;;02-610;;12-139;10-1517;05-755;12-1215;
;;;;;;67-457;-67-457;68-493;;;;;;;;;;;;;;;;;;;;;;;;;;;;02-612;;12-140;10-1518;05-756;12-1556;
;;;;;;67-458;-67-458;68-494;;;;;;;;;;;;;;;;;;;;;;;;;;;;02-613;;12-141;10-1519;05-757;12-1557;
;;;;;;67-460;-67-460;68-495;;;;;;;;;;;;;;;;;;;;;;;;;;;;02-615;;12-142;10-1520;05-1085;37-1151;
;;;;;;67-481;-67-481;68-505;;;;;;;;;;;;;;;;;;;;;;;;;;;;02-846;;12-143;10-1521;05-1492;40-206;
;;;;;;67-482;-67-482;68-506;;;;;;;;;;;;;;;;;;;;;;;;;;;;02-1047;;12-144;10-1522;05-1556;44-1151;
;;;;;;67-483;-67-483;68-507;;;;;;;;;;;;;;;;;;;;;;;;;;;;05-500;;12-145;10-1523;05-1557;45-1151;
;;;;;;67-484;-67-484;68-521;;;;;;;;;;;;;;;;;;;;;;;;;;;;05-507;;12-146;10-1524;06-401;46-1151;
;;;;;;67-485;-67-485;68-522;;;;;;;;;;;;;;;;;;;;;;;;;;;;05-511;;12-147;10-1525;06-690;47-1151;
;;;;;;67-486;-67-486;68-523;;;;;;;;;;;;;;;;;;;;;;;;;;;;05-512;;12-148;10-1526;06-700;48-1151;
;;;;;;67-487;-67-487;68-528;;;;;;;;;;;;;;;;;;;;;;;;;;;;06-450;;12-149;10-1527;06-701;50-1151;
;;;;;;67-488;-67-488;68-540;;;;;;;;;;;;;;;;;;;;;;;;;;;;06-502;;12-150;10-1528;06-705;55-296;
;;;;;;06-507;-06-507;68-541;;;;;;;;;;;;;;;;;;;;;;;;;;;;06-507;;12-151;10-1529;06-721;55-1151;
;;;;;;06-509;;68-550;;;;;;;;;;;;;;;;;;;;;;;;;;;;06-509;;12-152;10-1530;;55-1214;
;;;;;;06-512;;68-551;;;;;;;;;;;;;;;;;;;;;;;;;;;;06-512;;12-153;10-1531;;56-296;
;;;;;;06-845;;68-552;;;;;;;;;;;;;;;;;;;;;;;;;;;;06-845;;12-154;10-1532;;56-1151;
;;;;;;07-450;;68-560;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-450;;12-155;10-1533;;56-1214;
;;;;;;07-492;;68-561;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-492;;12-156;10-1553;;56-1215;
;;;;;;07-493;;68-562;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-493;;12-157;10-1554;;60-685;
;;;;;;07-498;;68-570;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-498;;12-158;10-1556;;61-685;
;;;;;;07-500;;68-571;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-500;;12-159;;;67-532;
;;;;;;07-502;;68-572;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-502;;12-160;;;69-231;
;;;;;;07-507;;68-573;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-507;;12-161;;;69-685;
;;;;;;07-509;;68-580;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-509;;;;;69-712;
;;;;;;07-511;;68-581;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-511;;;;;69-714;
;;;;;;07-512;;68-582;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-512;;;;;69-734;
;;;;;;07-513;;68-590;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-513;;;;;69-735;
;;;;;;07-514;;68-591;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-514;;;;;69-1214;
;;;;;;07-1047;;68-592;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-1047;;;;;69-1215;
;;;;;;07-1513;;68-595;;;;;;;;;;;;;;;;;;;;;;;;;;;;07-1513;;;;;69-1570;
;;;;;;08-493;;68-596;;;;;;;;;;;;;;;;;;;;;;;;;;;;08-493;;;;;70-685;
;;;;;;08-500;;68-597;;;;;;;;;;;;;;;;;;;;;;;;;;;;08-500;;;;;70-712;
;;;;;;08-509;;68-603;;;;;;;;;;;;;;;;;;;;;;;;;;;;08-509;;;;;70-714;
;;;;;;08-511;;68-604;;;;;;;;;;;;;;;;;;;;;;;;;;;;08-511;;;;;70-1214;
;;;;;;08-512;;68-613;;;;;;;;;;;;;;;;;;;;;;;;;;;;08-512;;;;;70-1570;
;;;;;;08-513;;68-614;;;;;;;;;;;;;;;;;;;;;;;;;;;;08-513;;;;;;
;;;;;;10-450;;68-615;;;;;;;;;;;;;;;;;;;;;;;;;;;;10-450;;;;;;
;;;;;;10-1047;;68-1154;;;;;;;;;;;;;;;;;;;;;;;;;;;;10-1047;;;;;;
;;;;;;10-1513;;68-1155;;;;;;;;;;;;;;;;;;;;;;;;;;;;10-1513;;;;;;
;;;;;;21-241;;68-1156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;35-241;;68-1157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;68-1513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;69-456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;69-458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;70-456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;70-458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;70-460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;96-503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;96-561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;96-1513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
